L_thumb,L_index,L_middle,L_ring,L_pinky,L_wrist,R_thumb,R_index,R_middle,R_ring,R_pinky,R_wrist
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,69.0000,0.0000,52.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,69.0000,0.0000,47.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.0000,0.0000,47.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,38.0000,0.0000,47.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,38.0000,0.0000,20.0000,56.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,85.0000,0.0000,60.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.0000,92.0000,0.0000,60.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,100.0000,0.0000,60.0000,48.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,69.0000,0.0000,33.0000,80.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.0000,100.0000,0.0000,47.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,31.0000,0.0000,47.0000,100.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,85.0000,0.0000,47.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,46.0000,0.0000,13.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,38.0000,0.0000,27.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.0000,69.0000,0.0000,73.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,92.0000,0.0000,20.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,85.0000,0.0000,0.0000,88.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,23.0000,0.0000,47.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,85.0000,0.0000,20.0000,76.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,38.0000,0.0000,67.0000,56.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,38.0000,0.0000,100.0000,100.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,38.0000,0.0000,60.0000,80.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,69.0000,0.0000,73.0000,72.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,77.0000,0.0000,52.0000,100.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,69.0000,0.0000,47.0000,100.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,85.0000,0.0000,60.0000,76.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.0000,85.0000,0.0000,73.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,85.0000,0.0000,7.0000,52.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,38.0000,0.0000,47.0000,60.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,77.0000,0.0000,60.0000,84.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,54.0000,0.0000,87.0000,48.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,69.0000,0.0000,52.0000,76.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,69.0000,0.0000,52.0000,84.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,54.0000,0.0000,67.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,92.0000,0.0000,47.0000,76.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,54.0000,0.0000,60.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,46.0000,0.0000,60.0000,52.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,69.0000,0.0000,87.0000,56.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,54.0000,0.0000,20.0000,60.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,46.0000,0.0000,52.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0000,100.0000,0.0000,60.0000,100.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,85.0000,0.0000,60.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,69.0000,0.0000,52.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,85.0000,0.0000,93.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,69.0000,0.0000,47.0000,76.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,85.0000,0.0000,60.0000,60.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,85.0000,0.0000,73.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,85.0000,0.0000,0.0000,52.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,38.0000,0.0000,47.0000,60.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,54.0000,0.0000,60.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,46.0000,0.0000,27.0000,68.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,100.0000,0.0000,60.0000,60.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,69.0000,0.0000,60.0000,64.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,38.0000,0.0000,13.0000,52.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.0000,77.0000,0.0000,47.0000,84.0000,0.0000
